test,result,detail,response_ms,checked_at
Backend port 3001 reachable,FAIL,Connection refused — server not running,,2026-05-21 15:22:03
Backend port 3002 reachable,FAIL,Connection refused — server not running,,2026-05-21 15:22:07
Backend port 3003 reachable,FAIL,Connection refused — server not running,,2026-05-21 15:22:11
Backend port 3001 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:15
Backend port 3002 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:19
Backend port 3003 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:23
Backend port 3001 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:27
Backend port 3002 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:31
Backend port 3003 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:35
Load balancer reachable (port 3000),FAIL,Connection refused — check nginx/HAProxy,,2026-05-21 15:22:39
Load balancer distributes requests,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-21 15:22:43
Raw request logs folder writable,PASS,logging/raw,,2026-05-21 15:22:44
System metrics logs folder writable,PASS,logging/metrics,,2026-05-21 15:22:44
Health check reports folder writable,PASS,logging/health_reports,,2026-05-21 15:22:44
Smoke test reports folder writable,PASS,logging/smoke_reports,,2026-05-21 15:22:44
Full request flows through load balancer → backend → ML,FAIL,Load balancer not reachable — chain is broken at entry point,,2026-05-21 15:22:48
