request_id,timestamp,instance_id,system_type,traffic_pattern,workload_type,endpoint_group,test_tool,experiment_id,concurrent_users,http_method,endpoint_id,endpoint_complexity,payload_size_kb,cpu_utilization_pct,memory_usage_mb,active_connections,event_loop_lag_ms,rolling_avg_cpu_5s,rolling_avg_latency_5s,p95_latency_5s,p99_latency_5s,req_per_sec,short_term_error_rate,response_time_ms,status_code
6deedb31-676e-4f05-a07e-91bf992c6e0c,2026-05-31T03:30:47.431Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,17,POST,/api/heavy,heavy,0.01,0,57.43,1,0.02,0.94,0,0,0,0.2,0,8.91,200
f7a160d6-f7ef-41ef-8da6-79b9de4b8f62,2026-05-31T03:30:47.426Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,33,POST,/api/heavy,heavy,0.01,0,57.58,1,0.04,0.3,0,0,0,0.2,0,12.75,200
92e93a89-f172-49ef-948b-4a1da640858a,2026-05-31T03:30:47.432Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,8,POST,/api/heavy,heavy,0.01,0,57.29,1,0.02,0.62,0,0,0,0.2,0,12.11,200
609dfe84-b469-4fa5-afc5-4109bef5973a,2026-05-31T03:30:47.443Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,22,POST,/api/heavy,heavy,0.01,0,57.43,1,0.02,0.94,8.91,8.91,8.91,0.4,0,1.26,200
99ff67d9-ece2-44fd-a5a9-9d925f17e415,2026-05-31T03:30:47.447Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,30,POST,/api/heavy,heavy,0.01,0,57.43,1,0.02,0.94,5.09,8.91,8.91,0.6,0,1.47,200
06b9bd11-15a8-4614-9a9e-67bc0ff1bf38,2026-05-31T03:30:47.443Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,7,POST,/api/heavy,heavy,0.01,0,57.58,1,0.04,0.3,12.75,12.75,12.75,0.4,0,1.5,200
b279ff95-c13a-4833-8f53-2200d7730741,2026-05-31T03:30:47.447Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,15,POST,/api/heavy,heavy,0.01,0,57.58,1,0.04,0.3,7.13,12.75,12.75,0.6,0,1.49,200
070a5696-a5bb-4244-94fe-3f6fb7f35199,2026-05-31T03:30:47.450Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,50,POST,/api/heavy,heavy,0.01,0,57.29,1,0.02,0.62,12.11,12.11,12.11,0.4,0,1.89,200
7fbb8aed-70b6-440a-928b-82e434f57e7d,2026-05-31T03:30:47.454Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,4,POST,/api/heavy,heavy,0.01,0,57.29,1,0.02,0.62,7,12.11,12.11,0.6,0,1.65,200
0162febe-42ef-446a-8896-c94ac146a0db,2026-05-31T03:30:47.460Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03_payload_10,13,POST,/api/heavy,heavy,0.01,0,57.29,1,0.02,0.62,5.22,12.11,12.11,0.8,0,0.97,200
